sno,Rooms,Bathrooms,Area,Converted_Area,Dogs_allowed,Cats_allowed
1,7,7.0,3550sf,3550.0,not allowed,not allowed
2,1,1.0,0,0.0,allowed,allowed
3,3,2.0,1352sf,1352.0,allowed,allowed
4,3,1.0,1300sf,1300.0,allowed,allowed
5,2,2.0,1360sf,1360.0,not allowed,not allowed
6,3,2.5,1867sf,1867.0,not allowed,not allowed
7,3,2.5,1907sf,1907.0,not allowed,not allowed
8,1,1.0,675sf,675.0,allowed,allowed
10,2,2.0,850sf,850.0,not allowed,not allowed
11,1,1.0,825sf,825.0,allowed,allowed
12,4,2.0,1860sf,1860.0,not allowed,not allowed
13,1,1.0,1000sf,1000.0,not allowed,not allowed
14,2,1.0,902sf,902.0,not allowed,not allowed
15,3,3.0,1800sf,1800.0,allowed,allowed
16,2,1.0,830sf,830.0,allowed,allowed
17,3,2.5,1380sf,1380.0,not allowed,not allowed
18,1,1.0,875sf,875.0,not allowed,not allowed
20,2,1.5,1000sf,1000.0,not allowed,allowed
21,1,1.0,550sf,550.0,not allowed,not allowed
22,1,1.0,1060sf,1060.0,not allowed,not allowed
23,1,1.0,0,0.0,not allowed,not allowed
24,1,1.0,579sf,579.0,allowed,allowed
25,1,1.5,954sf,954.0,not allowed,not allowed
26,3,2.0,1080sf,1080.0,not allowed,not allowed
27,5,3.0,2216sf,2216.0,not allowed,not allowed
28,3,3.0,2000sf,2000.0,not allowed,not allowed
29,2,1.0,1013sf,1013.0,not allowed,not allowed
30,3,2.0,1260sf,1260.0,not allowed,not allowed
31,2,1.5,1089sf,1089.0,not allowed,not allowed
32,3,2.5,2262sf,2262.0,not allowed,not allowed
34,2,2.5,1570sf,1570.0,not allowed,not allowed
35,1,1.0,0,0.0,not allowed,not allowed
36,2,2.0,1068sf,1068.0,not allowed,not allowed
37,4,2.5,2416sf,2416.0,not allowed,not allowed
38,3,2.5,2000sf,2000.0,not allowed,not allowed
39,3,2.0,1374sf,1374.0,not allowed,not allowed
40,3,2.5,1450sf,1450.0,not allowed,not allowed
41,1,1.0,801sf,801.0,not allowed,not allowed
42,1,1.0,699sf,699.0,not allowed,not allowed
44,3,2.5,1494sf,1494.0,not allowed,not allowed
45,3,1.5,864sf,864.0,not allowed,not allowed
46,4,2.0,0,0.0,allowed,allowed
47,3,2.5,2065sf,2065.0,not allowed,not allowed
48,3,2.0,2147sf,2147.0,not allowed,allowed
49,2,1.0,0,0.0,allowed,allowed
50,4,4.0,3100sf,3100.0,not allowed,not allowed
51,1,1.0,0,0.0,not allowed,not allowed
52,2,2.0,0,0.0,allowed,allowed
53,3,2.5,1762sf,1762.0,not allowed,not allowed
54,2,2.0,1286sf,1286.0,allowed,allowed
55,3,1.0,1154sf,1154.0,not allowed,not allowed
56,3,3.5,2042sf,2042.0,not allowed,not allowed
58,1,1.0,0,0.0,not allowed,not allowed
59,1,1.0,645sf,645.0,not allowed,not allowed
60,3,3.0,1600sf,1600.0,allowed,allowed
61,2,1.0,1083sf,1083.0,not allowed,not allowed
62,2,2.0,1100sf,1100.0,not allowed,not allowed
63,5,3.0,4500sf,4500.0,allowed,allowed
64,1,1.0,0,0.0,not allowed,not allowed
65,8,5.0,3415sf,3415.0,not allowed,not allowed
66,2,1.0,764sf,764.0,not allowed,not allowed
68,1,1.0,0,0.0,not allowed,not allowed
69,3,2.5,2331sf,2331.0,not allowed,not allowed
70,1,1.0,0,0.0,not allowed,not allowed
71,1,1.0,0,0.0,not allowed,not allowed
72,3,2.0,1633sf,1633.0,not allowed,not allowed
73,3,2.5,2325sf,2325.0,not allowed,not allowed
74,1,1.0,753sf,753.0,not allowed,not allowed
75,4,4.0,1608sf,1608.0,allowed,allowed
76,6,6.0,6500sf,6500.0,allowed,allowed
77,4,2.5,2687sf,2687.0,not allowed,not allowed
78,1,1.0,828sf,828.0,allowed,allowed
79,1,1.0,0,0.0,not allowed,not allowed
80,1,1.0,0,0.0,not allowed,not allowed
82,3,2.5,1712sf,1712.0,not allowed,not allowed
83,2,1.0,950sf,950.0,not allowed,not allowed
84,3,2.0,1561sf,1561.0,not allowed,not allowed
85,1,1.0,0,0.0,allowed,allowed
86,2,2.0,554sf,554.0,not allowed,not allowed
87,6,5.0,3600sf,3600.0,allowed,allowed
88,2,2.0,0,0.0,not allowed,not allowed
89,1,1.0,645sf,645.0,not allowed,not allowed
90,4,2.5,2217sf,2217.0,not allowed,not allowed
92,3,2.0,1186sf,1186.0,not allowed,not allowed
93,4,2.0,1650sf,1650.0,not allowed,not allowed
94,2,2.5,1092sf,1092.0,not allowed,not allowed
95,1,1.0,576sf,576.0,not allowed,not allowed
96,3,2.5,1310sf,1310.0,not allowed,not allowed
97,1,1.0,651sf,651.0,not allowed,not allowed
98,3,2.5,1565sf,1565.0,not allowed,not allowed
99,5,2.0,2077sf,2077.0,not allowed,not allowed
100,1,1.0,0,0.0,not allowed,not allowed
101,1,1.0,0,0.0,not allowed,not allowed
102,1,1.0,652sf,652.0,not allowed,not allowed
103,3,2.0,0,0.0,not allowed,not allowed
104,3,2.0,1378sf,1378.0,not allowed,not allowed
106,1,1.0,650sf,650.0,not allowed,not allowed
107,4,2.5,2733sf,2733.0,not allowed,not allowed
108,3,2.0,1402sf,1402.0,allowed,allowed
109,2,1.0,829sf,829.0,allowed,allowed
110,4,2.0,2200sf,2200.0,allowed,allowed
111,3,2.0,1304sf,1304.0,not allowed,not allowed
112,3,2.0,1566sf,1566.0,not allowed,not allowed
113,1,1.0,0,0.0,not allowed,not allowed
114,3,3.0,1800sf,1800.0,not allowed,not allowed
116,1,1.0,0,0.0,not allowed,not allowed
117,3,2.0,0,0.0,allowed,allowed
118,1,1.0,508sf,508.0,allowed,allowed
119,2,2.5,1242sf,1242.0,not allowed,not allowed
120,2,2.0,950sf,950.0,not allowed,not allowed
121,1,1.0,290sf,290.0,not allowed,not allowed
122,1,1.0,0,0.0,not allowed,not allowed
123,3,2.0,0,0.0,allowed,allowed
124,4,2.5,1953sf,1953.0,not allowed,not allowed
125,3,3.5,1706sf,1706.0,not allowed,not allowed
126,2,2.0,1541sf,1541.0,not allowed,not allowed
127,4,2.0,2258sf,2258.0,not allowed,not allowed
128,6,4.0,3095sf,3095.0,not allowed,not allowed
130,5,5.0,0,0.0,not allowed,not allowed
131,6,4.0,6000sf,6000.0,allowed,allowed
132,4,3.0,0,0.0,allowed,allowed
133,1,1.0,0,0.0,allowed,allowed
134,2,2.0,1206sf,1206.0,not allowed,not allowed
135,3,2.0,1600sf,1600.0,not allowed,not allowed
136,4,2.0,1923sf,1923.0,not allowed,not allowed
137,2,2.0,1065sf,1065.0,allowed,allowed
138,2,1.5,897sf,897.0,not allowed,not allowed
140,1,1.0,1400sf,1400.0,not allowed,not allowed
141,2,1.0,0,0.0,allowed,allowed
142,3,2.0,1976sf,1976.0,not allowed,not allowed
143,2,2.0,1167sf,1167.0,not allowed,not allowed
144,1,1.0,0,0.0,not allowed,not allowed
145,3,2.5,1836sf,1836.0,not allowed,not allowed
146,3,3.0,2000sf,2000.0,allowed,allowed
147,1,1.0,0,0.0,not allowed,not allowed
148,3,2.0,1328sf,1328.0,not allowed,not allowed
149,1,1.0,0,0.0,not allowed,not allowed
150,1,1.0,770sf,770.0,not allowed,not allowed
151,1,1.0,689sf,689.0,not allowed,not allowed
152,2,2.0,1027sf,1027.0,allowed,allowed
154,1,1.0,700sf,700.0,not allowed,not allowed
155,3,2.0,0,0.0,not allowed,not allowed
156,4,2.0,1503sf,1503.0,not allowed,not allowed
157,2,1.0,0,0.0,allowed,allowed
158,1,1.0,0,0.0,not allowed,not allowed
159,3,1.5,1202sf,1202.0,not allowed,not allowed
160,4,2.0,1744sf,1744.0,not allowed,not allowed
161,2,2.0,0,0.0,not allowed,not allowed
