sno,City,Location,StateCode,CountryCode,Price,Price_INR,Deposite
1,Austin TX,"Austin, TX",TX,US,"$29,340",2185830.0,0.0
2,Austin TX,801 West 5th Street,TX,US,"$2,620",195190.0,0.0
3,Austin TX,"Austin, Indian Oaks, TX, US",TX,US,"$1,460",108770.0,0.0
4,Austin TX,5505 Avenue H,TX,US,"$3,350",249575.0,119200.0
5,Austin TX,"Seaholm Residences, 222 West Avenue, Austin, TX 78701, USA",TX,US,"$7,000",521500.0,0.0
6,Austin TX,"7716 Earp Way, Williamson County, TX 78729, USA",TX,US,"$2,400",178800.0,0.0
7,Austin TX,"8032 Izetta Lane, Travis County, TX 78744, USA",TX,US,"$2,495",185877.5,0.0
8,Austin TX,"Austin, TX, US",TX,US,$868,64666.0,0.0
10,Austin TX,"Austin, TX",TX,US,"$10,200",759900.0,0.0
11,Austin TX,"Austin, TX",TX,US,"$4,740",353130.0,0.0
12,Austin TX,"Defender Trail, Austin, TX 78754, USA",TX,US,"$2,450",182525.0,0.0
13,Austin TX,"Austin, TX",TX,US,"$2,340",174330.0,0.0
14,Austin TX,"1404 Eva Street, Austin, TX 78704, USA",TX,US,"$8,000",596000.0,0.0
15,Austin TX,"TX, 78734",TX,US,"$10,440",777780.0,0.0
16,Austin TX,"Austin, TX",TX,US,"$5,610",417945.0,0.0
17,Austin TX,"2163 Boxwood Path, Round Rock, TX 78664, USA",TX,US,"$1,950",145275.0,0.0
18,Austin TX,"4711 Old Spicewood Springs Road, Austin, TX 78731, USA",TX,US,"$1,700",126650.0,0.0
20,Austin TX,"1500 East Side Drive, Unit 108",TX,US,"$2,279",169785.5,184685.5
21,Austin TX,"2207 Leon Street, Austin, TX 78705, USA",TX,US,"$1,350",100575.0,0.0
22,Austin TX,"1700 West 34th Street, Austin, TX 78799, USA",TX,US,"$5,200",387400.0,0.0
23,Austin TX,"616 West 35th Street, Austin, TX 78705, USA",TX,US,"$5,100",379950.0,0.0
24,Austin TX,1120 Shady Lane,TX,US,"$1,545",115102.5,0.0
25,Austin TX,"1601 Faro Drive, Austin, TX 78741, USA",TX,US,"$1,600",119200.0,0.0
26,Austin TX,"7002 Colony Loop Drive, Austin, TX 78724, USA",TX,US,"$1,950",145275.0,0.0
27,Austin TX,"4517 Avenue F, Austin, TX 78751, USA",TX,US,"$6,600",491700.0,0.0
28,Austin TX,"2802 Warren Street, Austin, TX 78703, USA",TX,US,"$5,150",383675.0,0.0
29,Austin TX,"6004 Woodview Avenue, Austin, TX 78756, USA",TX,US,"$4,000",298000.0,0.0
30,Austin TX,"Austin, TX",TX,US,"$4,710",350895.0,0.0
31,Austin TX,"2100 San Gabriel Street, Austin, TX 78705, USA",TX,US,"$1,750",130375.0,0.0
32,Austin TX,"499 Paul Thomas Drive, Williamson County, TX 78717, USA",TX,US,"$2,650",197425.0,0.0
34,Austin TX,"814 North Bluff Drive, Austin, TX 78745, USA",TX,US,"$2,750",204875.0,0.0
35,Austin TX,"808 West 32nd Street, Austin, TX 78705, USA",TX,US,"$4,100",305450.0,0.0
36,Austin TX,"2512 Enfield Road, Austin, TX 78703, USA",TX,US,"$1,895",141177.5,0.0
37,Austin TX,"6640 Loretta White Lane, Austin, TX 78744, USA",TX,US,"$3,000",223500.0,0.0
38,Austin TX,"1814 Village Oak Court, Austin, TX 78704, USA",TX,US,"$3,900",290550.0,0.0
39,Austin TX,"2505 San Gabriel Street, Austin, TX 78705, USA",TX,US,"$3,095",230577.5,0.0
40,Austin TX,"3311 Hycreek Drive, Austin, TX 78723, USA",TX,US,"$2,250",167625.0,0.0
41,Austin TX,"360 Condominiums, 360 Nueces Street, Austin, TX 78701, USA",TX,US,"$2,800",208600.0,0.0
42,Austin TX,"4816 Walden Circle, Austin, TX 78723, USA",TX,US,"$1,700",126650.0,0.0
44,Austin TX,"5713 Bolm Road, Austin, TX 78721, USA",TX,US,"$2,500",186250.0,0.0
45,Austin TX,"9505 Oriole Drive, Austin, TX 78798, USA",TX,US,"$1,800",134100.0,0.0
46,Austin TX,"Austin, TX",TX,US,"$6,600",491700.0,0.0
47,Austin TX,"Denali Parkway, Austin, TX 78726, USA",TX,US,"$2,750",204875.0,0.0
48,Austin TX,11618 Sherwood Forest,TX,US,"$3,200",238400.0,149000.0
49,Austin TX,"Austin, TX",TX,US,"$3,720",277140.0,0.0
50,Austin TX,"Austin, TX",TX,US,"$13,650",1016925.0,0.0
51,Austin TX,"Austin, TX",TX,US,"$4,980",371010.0,0.0
52,Austin TX,"Pflugerville, TX",TX,US,"$5,910",440295.0,0.0
53,Austin TX,"Winnsboro Loop, Round Rock, TX 78664, USA",TX,US,"$2,195",163527.5,0.0
54,Austin TX,"1910 Woodland Avenue, Unit B",TX,US,"$2,300",171350.0,171350.0
55,Austin TX,"5913 Sunshine Drive, Austin, TX 78751, USA",TX,US,"$3,000",223500.0,0.0
56,Austin TX,"10703 Morado Circle, Austin, TX 78759, USA",TX,US,"$3,800",283100.0,0.0
58,Austin TX,"1173 Webberville Road, Austin, TX 78721, USA",TX,US,"$2,595",193327.5,0.0
