City,Price,Rooms,Bathrooms,Area,Location,Amenities,Dogs_allowed,Cats_allowed,Deposite
Austin TX,"$29,340",7,7.0,"3,550sf","Austin, TX","['Air Conditioning', 'Balcony', 'Parking', 'Pool', 'Dishwasher', 'Garden']",not allowed,not allowed,0
Austin TX,"$2,620",1,1.0,unknown,801 West 5th Street,[],allowed,allowed,0
Austin TX,"$1,460",3,2.0,"1,352sf","Austin, Indian Oaks, TX, US",[],allowed,allowed,0
Austin TX,"$3,350",3,1.0,"1,300sf",5505 Avenue H,"['Storage', 'Air Conditioning', 'Dishwasher', 'Hardwood Floors', 'Wheelchair Accessible']",allowed,allowed,"$1,600"
Austin TX,"$7,000",2,2.0,"1,360sf","Seaholm Residences, 222 West Avenue, Austin, TX 78701, USA",[],not allowed,not allowed,0
Austin TX,"$2,400",3,2.5,"1,867sf","7716 Earp Way, Williamson County, TX 78729, USA",[],not allowed,not allowed,0
Austin TX,"$2,495",3,2.5,"1,907sf","8032 Izetta Lane, Travis County, TX 78744, USA",[],not allowed,not allowed,0
Austin TX,$868,1,1.0,675sf,"Austin, TX, US",[],allowed,allowed,0
,,,,,,,,,
Austin TX,"$10,200",2,2.0,850sf,"Austin, TX","['Air Conditioning', 'Parking', 'Dishwasher']",not allowed,not allowed,0
Austin TX,"$4,740",1,1.0,825sf,"Austin, TX","['Air Conditioning', 'Balcony', 'Elevator', 'Parking', 'Pool', 'Dishwasher']",allowed,allowed,0
Austin TX,"$2,450",4,2.0,"1,860sf","Defender Trail, Austin, TX 78754, USA",[],not allowed,not allowed,0
Austin TX,"$2,340",1,1.0,"1,000sf","Austin, TX","['Air Conditioning', 'Parking', 'Dishwasher', 'Garden']",not allowed,not allowed,0
Austin TX,"$8,000",2,1.0,902sf,"1404 Eva Street, Austin, TX 78704, USA",[],not allowed,not allowed,0
Austin TX,"$10,440",3,3.0,"1,800sf","TX, 78734","['Air Conditioning', 'Balcony', 'Fireplace', 'Parking', 'Dishwasher', 'Garden']",allowed,allowed,0
Austin TX,"$5,610",2,1.0,830sf,"Austin, TX","['Air Conditioning', 'Balcony', 'Parking', 'Dishwasher', 'Garden']",allowed,allowed,0
Austin TX,"$1,950",3,2.5,"1,380sf","2163 Boxwood Path, Round Rock, TX 78664, USA",[],not allowed,not allowed,0
Austin TX,"$1,700",1,1.0,875sf,"4711 Old Spicewood Springs Road, Austin, TX 78731, USA",[],not allowed,not allowed,0
,,,,,,,,,
Austin TX,"$2,279",2,1.5,"1,000sf","1500 East Side Drive, Unit 108","['Dishwasher', 'Hardwood Floors', 'Pool']",not allowed,allowed,"$2,479"
Austin TX,"$1,350",1,1.0,550sf,"2207 Leon Street, Austin, TX 78705, USA",[],not allowed,not allowed,0
Austin TX,"$5,200",1,1.0,"1,060sf","1700 West 34th Street, Austin, TX 78799, USA",[],not allowed,not allowed,0
Austin TX,"$5,100",Studio,1.0,unknown,"616 West 35th Street, Austin, TX 78705, USA",[],not allowed,not allowed,0
Austin TX,"$1,545",Studio,1.0,579sf,1120 Shady Lane,[],allowed,allowed,0
Austin TX,"$1,600",1,1.5,954sf,"1601 Faro Drive, Austin, TX 78741, USA",[],not allowed,not allowed,0
Austin TX,"$1,950",3,2.0,"1,080sf","7002 Colony Loop Drive, Austin, TX 78724, USA",[],not allowed,not allowed,0
Austin TX,"$6,600",5,3.0,"2,216sf","4517 Avenue F, Austin, TX 78751, USA",[],not allowed,not allowed,0
Austin TX,"$5,150",3,3.0,"2,000sf","2802 Warren Street, Austin, TX 78703, USA",[],not allowed,not allowed,0
Austin TX,"$4,000",2,1.0,"1,013sf","6004 Woodview Avenue, Austin, TX 78756, USA",[],not allowed,not allowed,0
Austin TX,"$4,710",3,2.0,"1,260sf","Austin, TX","['Air Conditioning', 'Fireplace', 'Parking', 'Dishwasher', 'Garden']",not allowed,not allowed,0
